id,title,authors,venue,year,type,link
47,"Implementing and optimizing a gpu-aware mpi library for intel gpus: Early experiences","CC Chen; KS Khorassani; GKR Kuncham; R Vaidya; M Abduljabbar; A Shafi; H Subramoni; DK Panda","2023 IEEE/ACM 23rd International Symposium on Cluster, Cloud and Internet",2023,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10464570
48,"High performance mpi over the slingshot interconnect","KS Khorassani; CC Chen; B Ramesh; A Shafi; H Subramoni; DK Panda","Journal of Computer Science and Technology 38 (1)",2023,Journal,https://jcst.ict.ac.cn/en/article/pdf/preview/10.1007/s11390-023-2907-5.pdf
49,"ACCDP: accelerated data-parallel distributed DNN training for modern GPU-based HPC clusters","N Alnaasan; A Jain; A Shafi; H Subramoni; DK Panda","HiPC 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10464659
50,"Designing efficient pipelined communication schemes using compression in MPI libraries","B Ramesh; Q Zhou; A Shafi; M Abduljabbar; H Subramoni; DK Panda","HiPC 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10464667
51,"Accelerating broadcast communication with gpu compression for deep learning workloads","Q Zhou; Q Anthony; A Shafi; H Subramoni; DK Panda","HiPC 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10464662
52,"Efficient personalized and non-personalized alltoall communication for modern multi-HCA GPU-based clusters","KK Suresh; AP Guptha; B Michalowicz; B Ramesh; M Abduljabbar; A Shafi; H Subramoni; D Panda","HiPC 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10410582
53,"Spark meets mpi: Towards high-performance communication framework for spark using mpi","K Al-Attar; A Shafi; M Abduljabbar; H Subramoni; DK Panda","2022 IEEE International Conference on Cluster Computing (CLUSTER)",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355057
54,"Designing hierarchical multi-HCA aware allgather in MPI","T Tran; B Michalowicz; B Ramesh; H Subramoni; A Shafi; DK Panda","51st International Conference on Parallel Processing",2022,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3547276.3548524
55,"Network assisted non-contiguous transfers for GPU-aware MPI libraries","KK Suresh; KS Khorassani; CC Chen; B Ramesh; M Abduljabbar; A Shafi; H Subramoni; DK Panda","2022 IEEE Symposium on High-Performance Interconnects (HOTI)",2022,Conferences & Workshops,https://ieeexplore.ieee.org/ielaam/40/10063988/10032789-aam.pdf
56,"High performance mpi over the slingshot interconnect: Early experiences","K Shafie Khorassani; CC Chen; B Ramesh; A Shafi; H Subramoni; D Panda","PEARC 2022",2022,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3491418.3530773
57,"Arm meets Cloud: A Case Study of MPI Library Performance on AWS Arm-based HPC Cloud with Elastic Fabric Adapter","S Xu; A Shafi; H Subramoni; DK Panda","IPDPS 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355068
58,"Towards Java-based HPC using the MVAPICH2 library: early experiences","K Al-Attar; A Shafi; H Subramoni; DK Panda","IPDPS 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355059
59,"Highly efficient alltoall and alltoallv communication algorithms for gpu systems","CC Chen; KS Khorassani; QG Anthony; A Shafi; H Subramoni; DK Panda","IPDPS 2022",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355071
60,"OMB-Py: Python micro-benchmarks for evaluating performance of MPI libraries on HPC systems","N Alnaasan; A Jain; A Shafi; H Subramoni; DK Panda","IPDPS 2022",2022,Conferences & Workshops,https://arxiv.org/pdf/2110.10659
61,"Hey CAI-Conversational AI Enabled User Interface for HPC Tools","P Kousha; A Jain; A Kolli; S Miriyala; P Sainath; H Subramoni; A Shafi; DK Panda","International Conference on High Performance Computing",2022,Conferences & Workshops,https://hibd.cse.ohio-state.edu/static/media/talks/slide/pouya-cai_sc22_1.pdf
62,"Hy-Fi: Hybrid Five-Dimensional Parallel DNN Training on High-Performance GPU Clusters","A Jain; A Shafi; Q Anthony; P Kousha; H Subramoni; DK Panda","International Conference on High Performance Computing",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355061
63,"Accelerating mpi all-to-all communication with online compression on modern gpu clusters","Q Zhou; P Kousha; Q Anthony; K Shafie Khorassani; A Shafi; H Subramoni; DK Panda","International Conference on High Performance Computing",2022,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355069
64,"Optimizing distributed dnn training using cpus and bluefield-2 dpus","A Jain; N Alnaasan; A Shafi; H Subramoni; DK Panda","IEEE Micro 42 (2)",2021,Journal,https://ieeexplore.ieee.org/ielaam/40/9743780/9665228-aam.pdf
65,"Layout-aware hardware-assisted designs for derived data types in mpi","KK Suresh; B Ramesh; CC Chen; SM Ghazimirsaeed; M Bayatpour; A Shafi; H Subramoni; DK Panda","HiPC 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10334470
66,"Towards architecture-aware hierarchical communication trees on modern hpc systems","B Ramesh; JM Hashmi; S Xu; A Shafi; M Ghazimirsaeed; M Bayatpour; H Subramoni; DK Panda","HiPC 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10355065
67,"Distmile: a distributed multi-level framework for scalable graph embedding","Y He; S Gurukar; P Kousha; H Subramoni; DK Panda; S Parthasarathy","HiPC 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10326130
68,"Large-message nonblocking mpi_iallgather and mpi ibcast offload via bluefield-2 dpu","N Sarkauskas; M Bayatpour; T Tran; B Ramesh; H Subramoni; DK Panda","HiPC 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10334468
69,"Accelerating CPU-based distributed DNN training on modern HPC clusters using bluefield-2 DPUs","A Jain; N Alnaasan; A Shafi; H Subramoni; DK Panda","2021 IEEE Symposium on High-Performance Interconnects (HOTI)",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10300193
70,"INAM: cross-stack profiling and analysis of communication in MPI-based applications","P Kousha; KR Sankarapandian; M Kedia; H Subramoni; A Jain; A Shafi; D Panda","PEARC 2021",2021,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3437359.3465582
71,"Scaling single-image super-resolution training on modern hpc clusters: Early experiences","Q Anthony; L Xu; H Subramoni; DK Panda","IPDPS 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10300198
72,"Bluesmpi: Efficient mpi non-blocking alltoall offloading designs on modern bluefield smart nics","M Bayatpour; N Sarkauskas; H Subramoni; J Maqbool Hashmi; DK Panda","International Conference on High Performance Computing",2021,Conferences & Workshops,
73,"Designing a ROCm-aware MPI library for AMD GPUs: early experiences","K Shafie Khorassani; J Hashmi; CH Chu; CC Chen; H Subramoni; DK Panda","International Conference on High Performance Computing",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10296036
74,"Designing high-performance mpi libraries with on-the-fly compression for modern gpu clusters","Q Zhou; C Chu; NS Kumar; P Kousha; SM Ghazimirsaeed; H Subramoni; DK Panda","IPDPS 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10296033
75,"Super: Sub-graph parallelism for transformers","A Jain; T Moon; T Benson; H Subramoni; SA Jacobs; DK Panda; B Van Essen","IPDPS 2021",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10300201
76,"Adaptive and hierarchical large message all-to-all communication algorithms for large-scale dense gpu systems","KS Khorassani; CH Chu; QG Anthony; H Subramoni; DK Panda","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet",2021,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10300197
77,"Efficient MPI-based communication for GPU-accelerated Dask applications","A Shafi; JM Hashmi; H Subramoni; DK Panda","2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet",2021,Conferences & Workshops,https://arxiv.org/pdf/2101.08878
78,"Blink: Towards Efficient RDMA-based Communication Coroutines for Parallel Python Applications","A Shafi; JM Hashmi; H Subramoni; DK Panda","HiPC 2020",2020,Conferences & Workshops,
79,"Scalable mpi collectives using sharp: Large scale performance evaluation on the tacc frontera system","B Ramesh; KK Suresh; N Sarkauskas; M Bayatpour; JM Hashmi; H Subramoni; DK Panda","ExaMPI 2020",2020,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10249393
80,"Mpi meets cloud: Case study with amazon ec2 and microsoft azure","S Xu; SM Ghazimirsaeed; JM Hashmi; H Subramoni; DK Panda","Fourth Annual Workshop on Emerging Parallel and Distributed",2020,Conferences & Workshops,
81,"Accelerating GPU-based Machine Learning in Python using MPI Library: A Case Study with MVAPICH2-GDR","SM Ghazimirsaeed; Q Anthony; A Shafi; H Subramoni; DK Panda","Workshop on Machine Learning in HPC Environments",2020,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10300203
82,"Gems: Gpu-enabled memory-aware model-parallelism system for distributed dnn training","A Jain; AA Awan; AM Aljuhani; JM Hashmi; QG Anthony; H Subramoni; DK Panda","SC20",2020,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10300202
83,"A hierarchical and load-aware design for large message neighborhood collectives","SM Ghazimirsaeed; Q Zhou; A Ruhela; M Bayatpour; H Subramoni; DK Panda","SC20",2020,Conferences & Workshops,https://drive.google.com/file/d/1MiFMNUR-G7OZT9rdWwawy8XnrHapb8vM/view
84,"Dynamic kernel fusion for bulk non-contiguous data transfer on GPU clusters","CH Chu; KS Khorassani; Q Zhou; H Subramoni; DK Panda","2020 IEEE International Conference on Cluster Computing (CLUSTER)",2020,Conferences & Workshops,https://par.nsf.gov/servlets/purl/10198155
85,"Accelerated real-time network monitoring and profiling at scale using OSU INAM","P Kousha; KR SD; H Subramoni; DK Panda; H Na; T Dockendorf; K Tomko","PEARC 2020",2020,Conferences & Workshops,https://dl.acm.org/doi/fullHtml/10.1145/3311790.3396672
86,"Nv-group: link-efficient reduction for distributed deep learning on modern dense gpu systems","CH Chu; P Kousha; AA Awan; KS Khorassani; H Subramoni; DK Panda","34th ACM International Conference on Supercomputing",2020,Conferences & Workshops,https://dl.acm.org/doi/pdf/10.1145/3392717.3392771
87,"Communication-aware hardware-assisted MPI overlap engine","J Hashmi; S Chakraborty; K Kandadi Suresh; SM Ghazimirsaeed; B Ramesh; H Subramoni","International Conference on High Performance Computing",2020,Conferences & Workshops,https://pmc.ncbi.nlm.nih.gov/articles/PMC7295353/
